File_ID,Group_ID,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,gt_label,coverage
img_1572,M,2,2,2,2,2,2,0.1063
img_1573,M,2,2,2,2,2,2,0.0433
img_1574,M,0,0,0,0,0,0,0.0027
img_1575,M,2,2,2,2,2,2,0.0804
img_1576,M,2,2,2,2,2,2,0.0845
img_1577,M,0,0,0,0,0,0,0.0025
img_1578,M,1,0,1,1,1,1,0.0065
img_1579,M,0,0,1,0,0,0,0.0746
img_1580,M,1,1,1,1,1,1,0.0178
img_1581,M,2,2,2,2,2,2,0.0816
img_1582,M,1,1,2,1,1,1,0.0221
img_1583,M,1,1,1,1,1,1,0.017
img_1584,M,1,1,1,0,0,1,0.0147
img_1585,M,0,0,0,0,0,0,0.0398
img_1586,M,2,2,2,2,1,2,0.0147
img_1587,M,2,2,2,2,2,2,0.0772
img_1588,M,0,0,0,0,0,0,0.0041
img_1589,M,0,0,1,0,1,0,0.0025
img_1590,M,0,1,1,0,1,1,0.0176
img_1591,M,0,0,0,0,0,0,0.0038
img_1592,M,0,0,0,0,1,0,0.0011
img_1593,M,2,2,2,2,2,2,0.0431
img_1594,M,1,1,2,1,2,1,0.0088
img_1595,M,0,0,1,1,1,1,0.0041
img_1596,M,0,0,0,0,0,0,0.0246
img_1597,M,0,0,0,1,1,0,0.0118
img_1598,M,0,0,0,0,0,0,0.0052
img_1599,M,0,0,0,0,0,0,0.0049
img_1600,M,0,0,0,1,1,0,0.0028
img_1601,M,0,0,0,1,0,0,0.0047
img_1602,M,1,2,1,2,2,2,0.0579
img_1603,M,2,2,2,2,2,2,0.0618
img_1604,M,1,1,1,1,1,1,0.017
img_1605,M,1,2,2,2,2,2,0.0359
img_1606,M,0,0,0,0,0,0,0.0043
img_1607,M,2,2,2,2,2,2,0.0569
img_1608,M,0,0,0,0,0,0,0.0022
img_1609,M,0,0,0,0,0,0,0.0017
img_1610,M,2,2,2,2,2,2,0.0689
img_1611,M,0,0,1,0,1,0,0.0199
img_1612,M,1,2,2,2,2,2,0.0424
img_1613,M,0,1,1,1,1,1,0.0137
img_1614,M,2,2,2,2,2,2,0.1186
img_1615,M,1,2,2,2,2,2,0.0261
img_1616,M,1,1,2,1,1,1,0.0217
img_1617,M,0,0,0,0,0,0,0.0098
img_1618,M,1,2,2,2,2,2,0.0457
img_1619,M,0,0,0,0,0,0,0.0024
img_1620,M,0,0,0,0,0,0,0.0688
img_1621,M,0,0,0,0,0,0,0.0019
img_1622,M,2,1,2,2,1,2,0.0423
img_1623,M,0,0,1,1,0,0,0.0053
img_1624,M,0,0,1,1,1,1,0.0075
img_1625,M,1,1,1,1,1,1,0.0143
img_1626,M,0,1,0,0,0,0,0.0085
img_1627,M,0,0,0,0,0,0,0.0044
img_1628,M,0,0,0,0,0,0,0.0042
img_1629,M,0,0,1,0,0,0,0.0064
